1993-94,Arsenal,1,Liverpool,0
1993-94,Blackburn,3,Swindon,1
1993-94,Chelsea,2,West Ham,0
1993-94,Coventry,2,Norwich,1
1993-94,Everton,0,Tottenham,1
1993-94,Ipswich,1,QPR,3
1993-94,Oldham,0,Man City,0
1993-94,Sheffield United,0,Southampton,0
1993-94,Wimbledon,1,Leeds,0
1993-94,Sheffield United,3,West Ham,2
1993-94,Ipswich,2,Man City,2
1993-94,Newcastle,3,Norwich,0
1993-94,Wimbledon,4,Blackburn,1
1993-94,Aston Villa,0,Everton,0
1993-94,Man United,1,Liverpool,0
1993-94,Sheffield Weds,3,Chelsea,1
1993-94,Southampton,1,Oldham,3
1993-94,Leeds,1,Newcastle,1
1993-94,Arsenal,1,Swindon,1
1993-94,Blackburn,2,Man United,0
1993-94,Chelsea,2,Southampton,0
1993-94,Coventry,1,Wimbledon,2
1993-94,Liverpool,1,Sheffield United,2
1993-94,Man City,3,Aston Villa,0
1993-94,Norwich,1,Tottenham,2
1993-94,Oldham,4,QPR,1
1993-94,Sheffield Weds,5,Everton,1
1993-94,West Ham,2,Ipswich,1
1993-94,Aston Villa,0,Norwich,0
1993-94,Everton,0,Blackburn,3
1993-94,Ipswich,0,Coventry,2
1993-94,Man United,3,Oldham,2
1993-94,Newcastle,0,Chelsea,0
1993-94,QPR,0,Leeds,4
1993-94,Sheffield United,1,Arsenal,1
1993-94,Southampton,0,Man City,1
1993-94,Swindon,0,Sheffield Weds,1
1993-94,Tottenham,1,West Ham,4
1993-94,Wimbledon,1,Liverpool,1
1993-94,Coventry,1,Tottenham,0
1993-94,Liverpool,1,Ipswich,0
1993-94,Man City,2,Newcastle,1
1993-94,Norwich,4,Southampton,5
1993-94,Sheffield Weds,3,QPR,1
1993-94,West Ham,0,Everton,1
1993-94,Blackburn,1,Aston Villa,0
1993-94,QPR,1,Chelsea,1
1993-94,Arsenal,1,Chelsea,0
1993-94,Coventry,1,Sheffield Weds,1
1993-94,Ipswich,1,Swindon,1
1993-94,Liverpool,0,Newcastle,2
1993-94,Man City,1,Norwich,1
1993-94,Oldham,1,West Ham,2
1993-94,QPR,2,Everton,1
1993-94,Sheffield United,1,Aston Villa,2
1993-94,Southampton,3,Blackburn,1
1993-94,Wimbledon,1,Man United,0
1993-94,Leeds,2,Tottenham,0
1993-94,Arsenal,1,Wimbledon,1
1993-94,Aston Villa,1,Arsenal,2
1993-94,Chelsea,1,Leeds,1
1993-94,Everton,0,Coventry,0
1993-94,Man United,2,Man City,0
1993-94,Newcastle,3,Oldham,2
1993-94,Norwich,0,Sheffield United,1
1993-94,Sheffield Weds,5,Ipswich,0
1993-94,Swindon,2,Wimbledon,4
1993-94,Tottenham,3,Southampton,0
1993-94,West Ham,1,Liverpool,2
1993-94,Blackburn,1,QPR,1
1993-94,Wimbledon,3,Oldham,0
1993-94,Chelsea,2,Swindon,0
1993-94,Leeds,0,Man United,2
1993-94,Newcastle,5,Aston Villa,1
1993-94,QPR,1,Arsenal,1
1993-94,West Ham,1,Blackburn,2
1993-94,Arsenal,0,West Ham,2
1993-94,Leeds,3,Everton,0
1993-94,Liverpool,0,Norwich,1
1993-94,Man City,2,Chelsea,2
1993-94,Oldham,0,Sheffield Weds,0
1993-94,QPR,1,Swindon,3
1993-94,Sheffield United,2,Newcastle,0
1993-94,Southampton,4,Aston Villa,1
1993-94,Wimbledon,2,Tottenham,1
1993-94,Ipswich,1,Man United,2
1993-94,Coventry,2,Blackburn,1
1993-94,Leeds,2,Sheffield Weds,2
1993-94,Oldham,1,Sheffield United,1
1993-94,QPR,0,West Ham,0
1993-94,Chelsea,1,Coventry,2
1993-94,Man United,2,Southampton,0
1993-94,Oldham,0,Tottenham,2
1993-94,Aston Villa,2,Liverpool,1
1993-94,Blackburn,0,Ipswich,0
1993-94,Chelsea,3,Sheffield United,2
1993-94,Everton,3,Wimbledon,2
1993-94,Newcastle,2,Arsenal,0
1993-94,Norwich,1,Oldham,1
1993-94,Sheffield Weds,1,Man City,1
1993-94,Swindon,0,Leeds,5
1993-94,Tottenham,1,QPR,2
1993-94,West Ham,3,Southampton,3
1993-94,Man United,0,Coventry,0
1994-95,Arsenal,3,Man City,0
1994-95,Chelsea,2,Norwich,0
1994-95,Coventry,1,Wimbledon,1
1994-95,Crystal Palace,1,Liverpool,6
1994-95,Everton,2,Aston Villa,2
1994-95,Ipswich,0,Nott'm Forest,1
1994-95,Man United,2,QPR,0
1994-95,Sheffield Weds,3,Tottenham,4
1994-95,Southampton,1,Blackburn,1
1994-95,West Ham,0,Leeds,0
1994-95,Leicester,1,Newcastle,3
1994-95,Nott'm Forest,1,Man United,1
1994-95,Blackburn,3,Leicester,0
1994-95,Leeds,1,Arsenal,0
1994-95,Wimbledon,1,Ipswich,1
1994-95,Aston Villa,1,Southampton,1
1994-95,Man City,3,West Ham,0
1994-95,Newcastle,4,Coventry,0
1994-95,Norwich,0,Crystal Palace,0
1994-95,QPR,3,Sheffield Weds,2
1994-95,Tottenham,2,Everton,1
